Zipcode,Population,Median Age, Household Income ,Per Capita Income,Poverty Count,Poverty Rate
2351,16196,41.1," 76,989 ",36037,513,3.167448753
2356,12498,41.8," 109,024 ",44983,434,3.472555609
2357,1234,19.8," (666,666,666)",5165,33,2.674230146
2359,18166,41," 93,075 ",37886,733,4.035010459
2360,58024,44.6," 80,905 ",38848,3486,6.007858817
2364,13106,43.6," 88,694 ",36464,860,6.561880055
2366,192,41.4," (666,666,666)",693,0,0
2367,2913,45.8," 84,602 ",35294,102,3.501544799
2368,33880,42.4," 65,473 ",30019,3878,11.44628099
2370,17725,41.2," 70,750 ",33438,1227,6.922425952
2375,10038,41.7," 90,313 ",39058,385,3.835425384
2379,7044,44," 80,709 ",33012,321,4.557069847
2382,14767,38.2," 75,898 ",33131,1061,7.184939392
2420,14325,45.9," 156,042 ",69249,376,2.62478185
2421,18611,44.1," 149,414 ",70587,772,4.148084466
2445,21029,34.7," 102,539 ",61379,2388,11.35574683
2446,29589,32.4," 93,750 ",59171,4316,14.58650174
2451,18130,37.9," 91,359 ",45311,1382,7.622724766
2452,15295,32.7," 83,283 ",35454,886,5.792742726
2453,29256,32," 75,550 ",36000,3261,11.1464315
2457,1622,20.1," (666,666,666)",3223,0,0
2458,12868,41.4," 100,768 ",64707,569,4.421821573
2459,19020,42.5," 150,282 ",75385,877,4.610935857
2460,10125,39.1," 121,250 ",62871,506,4.997530864
2461,7267,43.9," 156,000 ",71487,145,1.995321316
2462,1419,53.5," 106,324 ",66911,69,4.862579281
2464,3136,40.8," 95,750 ",51315,171,5.452806122
2465,11875,44," 133,958 ",72530,334,2.812631579
2466,8573,34.5," 107,717 ",48080,401,4.677475796
2467,22048,23.1," 108,413 ",51951,871,3.950471698
2468,5485,47.8," 190,139 ",83115,65,1.185050137
2472,33874,38.1," 91,991 ",48679,2800,8.265926669
2474,27916,39.9," 100,157 ",52014,1254,4.492047571
2476,16492,44.6," 96,442 ",55468,998,6.05141887
2478,25548,41.3," 114,082 ",60018,1259,4.927978707
2481,16328,36.3," 179,655 ",88947,469,2.872366487
2482,10959,43," 158,468 ",77059,333,3.038598412
2492,20185,43.6," 144,898 ",69510,608,3.012137726
2493,11946,43.3," 191,744 ",94419,589,4.930520676
2494,9982,42.3," 125,481 ",62104,417,4.177519535
2532,12370,47.6," 70,574 ",37634,1068,8.633791431
2534,952,49.7," 85,234 ",34787,96,10.08403361
2535,1812,42.1," 71,667 ",42509,299,16.50110375
2536,19366,48.2," 67,471 ",36118,1237,6.387483218
2537,6249,48.7," 95,465 ",42247,297,4.752760442
2538,3228,35.6," 65,273 ",26105,283,8.767038414
2539,4247,49," 70,556 ",45627,231,5.439133506
2540,8635,57.2," 64,509 ",46396,611,7.075854082
2542,756,26.5," 44,405 ",16815,51,6.746031746
2543,935,47.3," 71,250 ",81410,119,12.72727273
2553,115,54.4," 38,947 ",18304,0,0
2554,10434,38.8," 90,469 ",46247,1040,9.967414223
2556,2621,60.9," 80,821 ",53270,97,3.700877528
2557,4647,44.7," 57,773 ",36789,560,12.05078545
2558,1243,47.2," 46,194 ",33091,285,22.92839903
2559,4243,53.4," 75,505 ",39119,189,4.454395475
2561,479,43.8," 80,938 ",32909,198,41.33611691
2562,3194,47.5," 71,042 ",39114,329,10.30056356
2563,9469,50.3," 82,041 ",39430,502,5.301510191
2564,250,48.1," 59,750 ",36008,43,17.2
2568,4072,39," 46,816 ",34833,423,10.38801572
2571,10628,44.3," 58,927 ",30745,1200,11.29092962
2575,2306,54.6," 85,469 ",43073,29,1.257588899
2576,5225,42.5," 82,029 ",32875,349,6.679425837
2584,10,-666666666," (666,666,666)",,0,0
2601,14503,40.1," 43,052 ",24362,2752,18.9753844
2630,2355,45," 81,833 ",46263,491,20.8492569
2631,9782,54.7," 67,569 ",42804,465,4.753629115
2632,10293,51.3," 71,412 ",37671,429,4.167881084
2633,3859,58.2," 62,824 ",55159,641,16.61052086
2635,3486,53.9," 63,712 ",46612,204,5.851979346
2637,125,62," 140,179 ",69131,0,0
2638,3479,61.8," 69,375 ",40306,370,10.63524001
2639,2435,53.7," 47,600 ",35610,201,8.254620123
2641,236,71.5," (666,666,666)",75538,17,7.203389831
2642,4898,58.3," 57,402 ",36095,284,5.798285014
2643,9,-666666666," (666,666,666)",,0,0
2644,4829,36.7," 93,800 ",31209,257,5.322012839
2645,9457,51.5," 76,221 ",40905,686,7.25388601
2646,1888,59.3," 66,844 ",45957,145,7.680084746
2647,169,66.9," 78,050 ",53139,0,0
2648,6456,49.5," 76,364 ",37675,477,7.388475836
2649,14080,52.8," 70,995 ",40347,942,6.690340909
2650,1197,62.3," 70,771 ",35298,78,6.516290727
2651,26,-666666666," (666,666,666)",,0,0
2652,781,57.8," 60,662 ",39799,53,6.786171575
2653,5879,60.5," 49,934 ",39627,442,7.518285423
2655,3465,57," 68,684 ",63120,162,4.675324675
2657,2962,57," 42,228 ",43984,391,13.20054018
2659,835,55.8," 52,118 ",40988,41,4.910179641
2660,6557,56.6," 52,650 ",36721,641,9.775812109
2663,120,72.2," 60,568 ",27363,0,0
2664,9049,51.8," 52,696 ",32171,868,9.592220135
2666,808,58.5," 62,439 ",33966,119,14.72772277
